=== COMPREHENSIVE SIGNIFICANT TERMS ANALYSIS ===
Total files analyzed: 10 (5 ILI + 5 NREVSS)
Total unique terms found: 135

=== COMBINED ANALYSIS (ILI + NREVSS) ===
Total Bonferroni significant terms: 26

Term	Count/10	Mean_p_value	Median_p_value	Files
best over the counter flu medicine + cold and flu _4d7536f3	1/5	0.003077	0.003077	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
influenza a vs b symptoms + medicine for flu and cough + stomach flu vs stomach bug	1/5	0.000660	0.000660	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
congestion medicine	1/5	0.002330	0.002330	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
alka seltzer cold and cough + cold vs sinus infect_75a01e90	1/5	0.003988	0.003988	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
avian flu 2024 + avian flu in milk + bird flu 2024_7be51fa5	1/5	0.004087	0.004087	granger_significant_terms_nrevss_lag5.txt
tussionex	1/5	0.002249	0.002249	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
normal body temperature	1/5	0.004664	0.004664	granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt

NREVSS Uncorrected significant terms (not Bonferroni or FDR): 65

Term	Count/5	Mean_p_value	Median_p_value	NREVSS_Files
flu texas	4/5	0.027930	0.029685	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
how long does the flu last	4/5	0.020659	0.017062	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
covid + covid deaths + covid incubation period + covid vs flu vs cold + incubation period for covid + medicine for covid + spanish flu vs covid	4/5	0.016956	0.016917	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
what is a fever	4/5	0.018447	0.011424	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
cold symptoms	3/5	0.026946	0.017958	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
pneumonia symptoms	3/5	0.020165	0.020351	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
stomach flu	3/5	0.033822	0.039211	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag2.txt
avian flu	3/5	0.015625	0.009200	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)01c751	3/5	0.023177	0.015332	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
avian flu humans + avian flu in chickens + avian f_de498a91	3/5	0.021416	0.008064	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
treat flu	3/5	0.032775	0.028980	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
low body	2/5	0.034910	0.034910	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
flu medicine	2/5	0.031144	0.031144	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag3.txt
dry cough	2/5	0.031100	0.031100	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
stomach virus symptoms	2/5	0.014257	0.014257	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
best cough medicine	2/5	0.022782	0.022782	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
flu stomach pain	2/5	0.033651	0.033651	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
chest cold	2/5	0.029991	0.029991	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
i have the flu	2/5	0.011102	0.011102	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag2.txt
symptoms of cold	2/5	0.029998	0.029998	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag2.txt
period fever	2/5	0.032895	0.032895	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag2.txt
influenza symptoms	2/5	0.018641	0.018641	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
advil cold and flu + allergies vs cold + best cold_7dd0ee04	2/5	0.036140	0.036140	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
flu treatment	1/5	0.027414	0.027414	granger_significant_terms_nrevss_lag5.txt
rsv symptoms	1/5	0.024587	0.024587	granger_significant_terms_nrevss_lag5.txt
(TOPIC)087cyy	1/5	0.031488	0.031488	granger_significant_terms_nrevss_lag3.txt
(TOPIC)06n3pj	1/5	0.042889	0.042889	granger_significant_terms_nrevss_lag5.txt
flu care	1/5	0.046015	0.046015	granger_significant_terms_nrevss_lag5.txt
(TOPIC)0cjf0	1/5	0.045709	0.045709	granger_significant_terms_nrevss_lag4.txt
flu a symptoms	1/5	0.036081	0.036081	granger_significant_terms_nrevss_lag1.txt
oscillococcinum	1/5	0.025568	0.025568	granger_significant_terms_nrevss_lag2.txt
avian flu california + avian flu symptoms in human_20e1d83d	1/5	0.035204	0.035204	granger_significant_terms_nrevss_lag5.txt
tylenol extra strength	1/5	0.034641	0.034641	granger_significant_terms_nrevss_lag5.txt
(TOPIC)0b2cnj	1/5	0.038358	0.038358	granger_significant_terms_nrevss_lag5.txt
break a fever	1/5	0.036120	0.036120	granger_significant_terms_nrevss_lag1.txt
the flu symptoms	1/5	0.028862	0.028862	granger_significant_terms_nrevss_lag5.txt
current flu symptoms + flu type a treatment + how long am i contagious with the flu + type a influenza symptoms	1/5	0.031709	0.031709	granger_significant_terms_nrevss_lag2.txt
pandemic	1/5	0.010189	0.010189	granger_significant_terms_nrevss_lag5.txt
cough and fever	1/5	0.044589	0.044589	granger_significant_terms_nrevss_lag4.txt
how long does flu last	1/5	0.017009	0.017009	granger_significant_terms_nrevss_lag3.txt
cure flu	1/5	0.031872	0.031872	granger_significant_terms_nrevss_lag5.txt
(TOPIC)0683jy	1/5	0.032034	0.032034	granger_significant_terms_nrevss_lag5.txt
reduce fever	1/5	0.015710	0.015710	granger_significant_terms_nrevss_lag1.txt
sinus	1/5	0.013390	0.013390	granger_significant_terms_nrevss_lag2.txt
advil cold and flu + allergies vs cold + best cold_52555453	1/5	0.028552	0.028552	granger_significant_terms_nrevss_lag4.txt
best flu medicine for adults + children's tylenol _de4e67e7	1/5	0.009536	0.009536	granger_significant_terms_nrevss_lag2.txt
best over the counter flu medicine + cold and flu _53c4abfe	1/5	0.006519	0.006519	granger_significant_terms_nrevss_lag5.txt
avian flu california + avian flu symptoms in human_44b9fefd	1/5	0.013568	0.013568	granger_significant_terms_nrevss_lag5.txt
dangerous fever	1/5	0.016825	0.016825	granger_significant_terms_nrevss_lag5.txt
pneumonia	1/5	0.012127	0.012127	granger_significant_terms_nrevss_lag5.txt
flu virus	1/5	0.040280	0.040280	granger_significant_terms_nrevss_lag5.txt
period flu	1/5	0.038948	0.038948	granger_significant_terms_nrevss_lag5.txt
avian flu california + avian flu symptoms in human_d16842ee	1/5	0.025196	0.025196	granger_significant_terms_nrevss_lag5.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_ac91b042	1/5	0.033678	0.033678	granger_significant_terms_nrevss_lag5.txt
acute bronchitis	1/5	0.012897	0.012897	granger_significant_terms_nrevss_lag4.txt
spanish flu	1/5	0.015984	0.015984	granger_significant_terms_nrevss_lag4.txt
advil cold and flu + allergies vs cold + best cold_2d4fc80d	1/5	0.021904	0.021904	granger_significant_terms_nrevss_lag4.txt
avian bird flu + avian flu h5n1 + avian flu sympto_b1d3aa48	1/5	0.049747	0.049747	granger_significant_terms_nrevss_lag4.txt
best medicine for cold	1/5	0.049800	0.049800	granger_significant_terms_nrevss_lag4.txt
advil cold and flu + allergies vs cold + best cold_46a6a780	1/5	0.010396	0.010396	granger_significant_terms_nrevss_lag1.txt
cold flu	1/5	0.016379	0.016379	granger_significant_terms_nrevss_lag1.txt
stomach flu symptoms	1/5	0.022902	0.022902	granger_significant_terms_nrevss_lag1.txt
difference in flu type a and b + flu b incubation _f0f3f08e	1/5	0.037142	0.037142	granger_significant_terms_nrevss_lag1.txt
flu test	1/5	0.029716	0.029716	granger_significant_terms_nrevss_lag3.txt
best flu medicine for adults + children's tylenol _c6535e4a	1/5	0.029794	0.029794	granger_significant_terms_nrevss_lag2.txt

================================================================================

=== SUMMARY STATISTICS ===
COMBINED (ILI + NREVSS):
  Bonferroni significant terms: 26
  FDR significant terms (total): 74
  Uncorrected significant terms (total): 135

ILI-SPECIFIC:
  Bonferroni significant terms: 16
  FDR significant terms (total): 51
  Uncorrected significant terms (total): 110

NREVSS-SPECIFIC:
  Bonferroni significant terms: 12
  FDR significant terms (total): 39
  Uncorrected significant terms (total): 104

=== MOST FREQUENTLY SIGNIFICANT TERMS (ALL CATEGORIES) ===
Term	Total_Count/10	Bonferroni	FDR	Uncorrected	ILI_Count	NREVSS_Count
h1n1	16/10	3	5	8	6/5	10/5
flu texas	15/10	3	4	8	11/5	4/5
(TOPIC)09gh4jl + best flu medicine + best medicine_c82ee129	15/10	2	4	9	4/5	11/5
the flu virus	14/10	2	5	7	3/5	11/5
incubation period	12/10	1	5	6	7/5	5/5
cold flu symptoms	12/10	0	3	9	6/5	6/5
(TOPIC)028tns	12/10	3	4	5	2/5	10/5
tessalon	11/10	1	4	6	4/5	7/5
flu like symptoms	11/10	1	3	7	3/5	8/5
flu children	11/10	1	3	7	7/5	4/5
flu cough	11/10	2	2	7	6/5	5/5
stomach flu virus	10/10	2	3	5	10/5	0/5
symptoms of pneumonia	10/10	0	3	7	6/5	4/5
high fever	10/10	2	3	5	10/5	0/5
how long does the flu last	10/10	0	2	8	6/5	4/5
low body	9/10	1	2	6	7/5	2/5
(TOPIC)0j5fv	9/10	1	3	5	9/5	0/5
how long contagious	9/10	0	2	7	5/5	4/5
symptoms of the flu	9/10	0	3	6	4/5	5/5
what is the flu	9/10	1	2	6	6/5	3/5
